car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40891918,1,normal,1,1,1,1,1
41034652,0,normal,1,1,1,1,1
40570758,0,normal,1,1,1,1,1
40822522,1,normal,1,1,1,1,1
39932121,1,normal,1,1,1,1,1
40692081,1,normal,1,1,1,1,1
41019379,0,normal,1,1,1,1,1
40479105,0,normal,1,1,1,1,1
40942004,0,normal,1,1,1,1,1
40817850,0,normal,1,1,1,1,1
40651232,0,good,1,1,1,1,1
41034320,0,normal,1,1,1,1,1
40620533,0,normal,1,1,1,1,1
40443115,0,normal,1,1,1,1,1
40649551,1,normal,1,1,1,1,1
40633340,0,normal,1,1,1,1,1
40892106,0,normal,1,1,1,1,1
40441611,1,normal,1,1,1,1,1
40631261,0,normal,1,1,1,1,1
39969899,0,good,1,1,1,1,1
40755531,0,normal,1,1,1,1,1
37111601,1,normal,1,1,1,1,1
40976791,1,normal,1,1,1,1,1
40085120,0,normal,1,1,1,1,1
40825014,0,normal,1,1,1,1,1
40856127,1,normal,1,1,1,1,1
39197788,0,normal,1,1,1,1,1
40850853,0,normal,1,1,1,1,1
40978775,0,normal,1,1,1,1,1
40615660,0,good,1,1,1,1,1
40904357,1,normal,1,1,1,1,1
40931727,0,normal,1,1,1,1,1
41020321,0,normal,1,1,1,1,1
40145131,0,normal,1,1,1,1,1
41013066,0,normal,1,1,1,1,1
41011531,0,normal,1,1,1,1,1
40719508,0,normal,1,1,1,1,1
40085823,1,normal,1,1,1,1,1
39819347,0,normal,1,1,1,1,1
40904672,0,normal,1,1,1,1,1
40034600,0,normal,1,1,1,1,1
40796706,0,normal,1,1,1,1,1
41018413,0,normal,1,1,1,1,1
40910613,0,normal,1,1,1,1,1
40390857,0,normal,1,1,1,1,1
40796743,0,normal,1,1,1,1,1
40899948,0,normal,1,1,1,1,1
40881741,0,normal,1,1,1,1,1
40796635,0,normal,1,1,1,1,1
41012309,0,normal,1,1,1,1,1
40966974,0,normal,1,1,1,1,1
40941838,0,normal,1,1,1,1,1
40601526,0,normal,1,1,1,1,1
40841074,0,normal,1,1,1,1,1
39854648,0,normal,1,1,1,1,1
40958718,0,normal,1,1,1,1,1
39918097,0,normal,1,1,1,1,1
40862842,0,normal,1,1,1,1,1
39815818,0,normal,1,1,1,1,1
40966882,0,normal,1,1,1,1,1
40383853,0,normal,1,1,1,1,1
40102675,1,normal,1,1,1,1,1
40947389,0,normal,1,1,1,1,1
40997513,0,normal,1,1,1,1,1
40891648,1,normal,1,1,1,1,1
41024397,0,normal,1,1,1,1,1
40334531,1,normal,1,1,1,1,1
40976400,0,normal,1,1,1,1,1
40875713,0,normal,1,1,1,1,1
38799053,0,normal,1,1,1,1,1
40562955,1,normal,1,1,1,1,1
38665828,0,normal,1,1,1,1,1
40276997,0,normal,1,1,1,1,1
40385699,0,normal,1,1,1,1,1
39759060,0,normal,1,1,1,1,1
38752274,0,normal,1,1,1,1,1
40690412,0,normal,1,1,1,1,1
40363619,0,normal,1,1,1,1,1
40690401,0,normal,1,1,1,1,1
40953758,0,normal,1,1,1,1,1
40810045,0,normal,1,1,1,1,1
40658893,0,normal,1,1,1,1,1
40628592,0,normal,1,1,1,1,1
40927384,0,normal,1,1,1,1,1
38842135,0,normal,1,1,1,1,1
39098117,1,normal,1,1,1,1,1
41006635,0,normal,1,1,1,1,1
40641843,0,normal,1,1,1,1,1
40718523,0,normal,1,1,1,1,1
40878589,1,normal,1,1,1,1,1
40690409,0,normal,1,1,1,1,1
40998897,0,normal,1,1,1,1,1
40794564,0,good,1,1,1,1,1
39217243,0,good,1,1,1,1,1
40130341,0,good,1,1,1,1,1
40842342,0,normal,1,1,1,1,1
40536481,1,normal,1,1,1,1,1
40443590,1,normal,1,1,1,1,1
40955575,0,normal,1,1,1,1,1
40577820,0,good,1,1,1,1,1
39943214,0,normal,1,1,1,1,1
40660052,0,good,1,1,1,1,1
40820555,0,good,1,1,1,1,1
40891894,1,normal,1,1,1,1,1
40909516,0,normal,1,1,1,1,1
40874511,0,normal,1,1,1,1,1
41030657,0,normal,1,1,1,1,1
