car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40815593,0,good,1,1,1,1,1
40972414,1,normal,1,1,1,1,1
40944782,0,normal,1,1,1,1,1
40747847,0,normal,1,1,1,1,1
41021116,0,normal,1,1,1,1,1
40326468,1,normal,1,1,1,1,1
40721851,0,normal,1,1,1,1,1
40594230,1,normal,1,1,1,1,1
40962142,1,normal,1,1,1,1,1
40386105,0,normal,1,1,1,1,1
40849503,0,normal,1,1,1,1,1
39308261,0,normal,1,1,1,1,1
40476032,1,normal,1,1,1,1,1
40828748,1,good,1,1,1,1,1
40708801,0,normal,1,1,1,1,1
40733160,0,normal,1,1,1,1,1
40640757,0,normal,1,1,1,1,1
40986944,0,normal,1,1,1,1,1
40843194,1,normal,1,1,1,1,1
40761565,1,normal,1,1,1,1,1
40764795,1,normal,1,1,1,1,1
37645596,0,normal,1,1,1,1,1
40810180,0,normal,1,1,1,1,1
41021458,0,normal,1,1,1,1,1
40489333,1,normal,1,1,1,1,1
40873116,1,normal,1,1,1,1,1
40306736,1,normal,1,1,1,1,1
41024048,0,normal,1,1,1,1,1
39847523,1,normal,1,1,1,1,1
40406948,1,normal,1,1,1,1,1
40750855,1,normal,1,1,1,1,1
40910948,0,normal,1,1,1,1,1
40550120,0,normal,1,1,1,1,1
40943448,1,normal,1,1,1,1,1
40937178,1,normal,1,1,1,1,1
40959253,0,normal,1,1,1,1,1
40334360,1,normal,1,1,1,1,1
40646259,0,normal,1,1,1,1,1
40933472,0,normal,1,1,1,1,1
38650497,1,normal,1,1,1,1,1
40545147,0,normal,1,1,1,1,1
40852765,0,normal,1,1,1,1,1
39813718,1,normal,1,1,1,1,1
40673920,0,normal,1,1,1,1,1
40312734,0,normal,1,1,1,1,1
40659047,0,normal,1,1,1,1,1
40106081,0,normal,1,1,1,1,1
40920040,1,normal,1,1,1,1,1
41014680,1,normal,1,1,1,1,1
40891318,0,normal,1,1,1,1,1
40920430,0,normal,1,1,1,1,1
39806314,1,normal,1,1,1,1,1
40748419,0,normal,1,1,1,1,1
40990572,0,normal,1,1,1,1,1
40670136,1,normal,1,1,1,1,1
40844381,0,good,1,1,1,1,1
40691327,1,normal,1,1,1,1,1
40992023,0,normal,0,0,0,0,0
40671610,1,normal,1,1,1,1,1
40776232,0,normal,1,1,1,1,1
40896664,0,normal,1,1,1,1,1
40842243,0,normal,1,1,1,1,1
40614393,1,normal,1,1,1,1,1
40741778,0,normal,1,1,1,1,1
40942410,1,good,1,1,1,1,1
40955681,0,normal,1,1,1,1,1
39136459,1,normal,1,1,1,1,1
40903233,0,normal,1,1,1,1,1
40583982,1,normal,1,1,1,1,1
40425909,0,normal,1,1,1,1,1
40610291,0,normal,0,0,0,0,0
40899757,0,good,1,1,1,1,1
41016582,1,normal,1,1,1,1,1
40956611,1,normal,1,1,1,1,1
40953427,1,normal,1,1,1,1,1
40787626,1,normal,1,1,1,1,1
39703134,0,good,1,1,1,1,1
40932290,1,normal,1,1,1,1,1
40733304,1,normal,1,1,1,1,1
40989296,1,normal,1,1,1,1,1
38640679,0,good,1,1,1,1,1
40258792,0,good,1,1,1,1,1
40307876,1,normal,1,1,1,1,1
40928105,1,normal,1,1,1,1,1
41017110,0,good,1,1,1,1,1
39984688,1,normal,1,1,1,1,1
40899309,1,normal,1,1,1,1,1
40192192,1,good,1,1,1,1,1
40539510,1,good,1,1,1,1,1
39422087,1,normal,1,1,1,1,1
40885367,1,normal,1,1,1,1,1
40793157,1,normal,1,1,1,1,1
40272054,1,normal,1,1,1,1,1
40753923,0,normal,1,1,1,1,1
41012842,0,good,1,1,1,1,1
40949700,1,normal,1,1,1,1,1
39203984,1,normal,1,1,1,1,1
38929852,1,good,1,1,1,1,1
40583220,0,good,1,1,1,1,1
38539696,0,good,1,1,1,1,1
40971941,0,normal,1,1,1,1,1
40187665,0,good,1,1,1,1,1
40952504,1,normal,1,1,1,1,1
40840014,1,normal,1,1,1,1,1
40423376,0,good,1,1,1,1,1
39089082,0,good,1,1,1,1,1
38066582,0,good,1,1,1,1,1
40404605,1,normal,1,1,1,1,1
39126804,1,normal,1,1,1,1,1
41016026,1,normal,1,1,1,1,1
40333711,1,normal,1,1,1,1,1
40547930,0,good,1,1,1,1,1
40501226,0,normal,1,1,1,1,1
39556586,1,normal,1,1,1,1,1
40404598,1,normal,1,1,1,1,1
40617450,1,normal,1,1,1,1,1
39764536,0,normal,1,1,1,1,1
39839420,1,normal,1,1,1,1,1
40691306,1,normal,1,1,1,1,1
39393782,0,normal,0,0,0,0,0
39547117,1,normal,1,1,1,1,1
40590295,1,normal,1,1,1,1,1
39505858,0,normal,1,1,1,1,1
40970965,0,normal,1,1,1,1,1
39300974,1,normal,1,1,1,1,1
40552644,1,normal,1,1,1,1,1
40295548,1,normal,1,1,1,1,1
40492119,0,good,1,1,1,1,1
39878537,1,normal,1,1,1,1,1
38921325,0,normal,1,1,1,1,1
37109168,0,normal,1,1,1,1,1
40438669,1,normal,1,1,1,1,1
39115378,0,normal,1,1,1,1,1
40968580,0,normal,1,1,1,1,1
40329986,0,good,1,1,1,1,1
40368831,1,normal,1,1,1,1,1
40832023,0,normal,1,1,1,1,1
40899784,1,normal,1,1,1,1,1
40365526,0,normal,1,1,1,1,1
40607164,1,normal,0,0,0,0,0
40992966,1,normal,1,1,1,1,1
40408911,1,normal,1,1,1,1,1
40951839,1,normal,1,1,1,1,1
40165010,0,good,1,1,1,1,1
40734650,1,normal,1,1,1,1,1
